grid,model,backend,language,country,occupation,prompt_id,cell_id,image_id,seed,prompt,prompt_status,target_n,current_n,missing_n,shard_group,shard_id,n_shards,recommended_runner,output_metadata_path,output_image_dir
main,runwayml/stable-diffusion-v1-5,local_diffusers,en,MULTI,CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml_stable-diffusion-v1-5__CEO__202605140001020,202605140001020,a photo of a CEO,ok,30,20,10,main|runwayml/stable-diffusion-v1-5|en,0,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
main,runwayml/stable-diffusion-v1-5,local_diffusers,en,MULTI,CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml_stable-diffusion-v1-5__CEO__202605140001021,202605140001021,a photo of a CEO,ok,30,20,10,main|runwayml/stable-diffusion-v1-5|en,3,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
main,runwayml/stable-diffusion-v1-5,local_diffusers,en,MULTI,CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml_stable-diffusion-v1-5__CEO__202605140001022,202605140001022,a photo of a CEO,ok,30,20,10,main|runwayml/stable-diffusion-v1-5|en,3,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
main,runwayml/stable-diffusion-v1-5,local_diffusers,en,MULTI,CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml_stable-diffusion-v1-5__CEO__202605140001023,202605140001023,a photo of a CEO,ok,30,20,10,main|runwayml/stable-diffusion-v1-5|en,2,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
main,runwayml/stable-diffusion-v1-5,local_diffusers,en,MULTI,CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml_stable-diffusion-v1-5__CEO__202605140001024,202605140001024,a photo of a CEO,ok,30,20,10,main|runwayml/stable-diffusion-v1-5|en,1,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
main,runwayml/stable-diffusion-v1-5,local_diffusers,en,MULTI,CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml_stable-diffusion-v1-5__CEO__202605140001025,202605140001025,a photo of a CEO,ok,30,20,10,main|runwayml/stable-diffusion-v1-5|en,0,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
main,runwayml/stable-diffusion-v1-5,local_diffusers,en,MULTI,CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml_stable-diffusion-v1-5__CEO__202605140001026,202605140001026,a photo of a CEO,ok,30,20,10,main|runwayml/stable-diffusion-v1-5|en,3,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
main,runwayml/stable-diffusion-v1-5,local_diffusers,en,MULTI,CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml_stable-diffusion-v1-5__CEO__202605140001027,202605140001027,a photo of a CEO,ok,30,20,10,main|runwayml/stable-diffusion-v1-5|en,2,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
main,runwayml/stable-diffusion-v1-5,local_diffusers,en,MULTI,CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml_stable-diffusion-v1-5__CEO__202605140001028,202605140001028,a photo of a CEO,ok,30,20,10,main|runwayml/stable-diffusion-v1-5|en,0,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
main,runwayml/stable-diffusion-v1-5,local_diffusers,en,MULTI,CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml/stable-diffusion-v1-5|en|MULTI|CEO,runwayml_stable-diffusion-v1-5__CEO__202605140001029,202605140001029,a photo of a CEO,ok,30,20,10,main|runwayml/stable-diffusion-v1-5|en,1,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
main,stabilityai/stable-diffusion-xl-base-1.0,local_diffusers,en,MULTI,CEO,stabilityai/stable-diffusion-xl-base-1.0|en|MULTI|CEO,stabilityai/stable-diffusion-xl-base-1.0|en|MULTI|CEO,stabilityai_stable-diffusion-xl-base-1.0__CEO__202605140002000,202605140002000,a photo of a CEO,ok,30,0,30,main|stabilityai/stable-diffusion-xl-base-1.0|en,3,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
main,stabilityai/stable-diffusion-xl-base-1.0,local_diffusers,en,MULTI,CEO,stabilityai/stable-diffusion-xl-base-1.0|en|MULTI|CEO,stabilityai/stable-diffusion-xl-base-1.0|en|MULTI|CEO,stabilityai_stable-diffusion-xl-base-1.0__CEO__202605140002001,202605140002001,a photo of a CEO,ok,30,0,30,main|stabilityai/stable-diffusion-xl-base-1.0|en,2,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
main,stabilityai/stable-diffusion-xl-base-1.0,local_diffusers,en,MULTI,CEO,stabilityai/stable-diffusion-xl-base-1.0|en|MULTI|CEO,stabilityai/stable-diffusion-xl-base-1.0|en|MULTI|CEO,stabilityai_stable-diffusion-xl-base-1.0__CEO__202605140002002,202605140002002,a photo of a CEO,ok,30,0,30,main|stabilityai/stable-diffusion-xl-base-1.0|en,2,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
main,stabilityai/stable-diffusion-xl-base-1.0,local_diffusers,en,MULTI,CEO,stabilityai/stable-diffusion-xl-base-1.0|en|MULTI|CEO,stabilityai/stable-diffusion-xl-base-1.0|en|MULTI|CEO,stabilityai_stable-diffusion-xl-base-1.0__CEO__202605140002003,202605140002003,a photo of a CEO,ok,30,0,30,main|stabilityai/stable-diffusion-xl-base-1.0|en,0,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
main,stabilityai/stable-diffusion-xl-base-1.0,local_diffusers,en,MULTI,CEO,stabilityai/stable-diffusion-xl-base-1.0|en|MULTI|CEO,stabilityai/stable-diffusion-xl-base-1.0|en|MULTI|CEO,stabilityai_stable-diffusion-xl-base-1.0__CEO__202605140002004,202605140002004,a photo of a CEO,ok,30,0,30,main|stabilityai/stable-diffusion-xl-base-1.0|en,2,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
main,stabilityai/stable-diffusion-xl-base-1.0,local_diffusers,en,MULTI,CEO,stabilityai/stable-diffusion-xl-base-1.0|en|MULTI|CEO,stabilityai/stable-diffusion-xl-base-1.0|en|MULTI|CEO,stabilityai_stable-diffusion-xl-base-1.0__CEO__202605140002005,202605140002005,a photo of a CEO,ok,30,0,30,main|stabilityai/stable-diffusion-xl-base-1.0|en,2,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
main,stabilityai/stable-diffusion-xl-base-1.0,local_diffusers,en,MULTI,CEO,stabilityai/stable-diffusion-xl-base-1.0|en|MULTI|CEO,stabilityai/stable-diffusion-xl-base-1.0|en|MULTI|CEO,stabilityai_stable-diffusion-xl-base-1.0__CEO__202605140002006,202605140002006,a photo of a CEO,ok,30,0,30,main|stabilityai/stable-diffusion-xl-base-1.0|en,2,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
