grid,model,backend,language,country,occupation,prompt_id,cell_id,image_id,seed,prompt,prompt_status,target_n,current_n,missing_n,shard_group,shard_id,n_shards,recommended_runner,output_metadata_path,output_image_dir
robustness,pollinations/flux,pollinations,qu,MULTI,nurse,pollinations/flux|qu|MULTI|nurse,pollinations/flux|qu|MULTI|nurse,pollinations_flux__nurse__202625140300000,202625140300000,"hampiq mama, hampiq tayta",ok,10,0,10,robustness|pollinations/flux|qu,0,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,nurse,pollinations/flux|qu|MULTI|nurse,pollinations/flux|qu|MULTI|nurse,pollinations_flux__nurse__202625140300001,202625140300001,"hampiq mama, hampiq tayta",ok,10,0,10,robustness|pollinations/flux|qu,0,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,nurse,pollinations/flux|qu|MULTI|nurse,pollinations/flux|qu|MULTI|nurse,pollinations_flux__nurse__202625140300002,202625140300002,"hampiq mama, hampiq tayta",ok,10,0,10,robustness|pollinations/flux|qu,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,nurse,pollinations/flux|qu|MULTI|nurse,pollinations/flux|qu|MULTI|nurse,pollinations_flux__nurse__202625140300003,202625140300003,"hampiq mama, hampiq tayta",ok,10,0,10,robustness|pollinations/flux|qu,0,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,nurse,pollinations/flux|qu|MULTI|nurse,pollinations/flux|qu|MULTI|nurse,pollinations_flux__nurse__202625140300004,202625140300004,"hampiq mama, hampiq tayta",ok,10,0,10,robustness|pollinations/flux|qu,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,nurse,pollinations/flux|qu|MULTI|nurse,pollinations/flux|qu|MULTI|nurse,pollinations_flux__nurse__202625140300005,202625140300005,"hampiq mama, hampiq tayta",ok,10,0,10,robustness|pollinations/flux|qu,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,nurse,pollinations/flux|qu|MULTI|nurse,pollinations/flux|qu|MULTI|nurse,pollinations_flux__nurse__202625140300006,202625140300006,"hampiq mama, hampiq tayta",ok,10,0,10,robustness|pollinations/flux|qu,0,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,nurse,pollinations/flux|qu|MULTI|nurse,pollinations/flux|qu|MULTI|nurse,pollinations_flux__nurse__202625140300007,202625140300007,"hampiq mama, hampiq tayta",ok,10,0,10,robustness|pollinations/flux|qu,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,nurse,pollinations/flux|qu|MULTI|nurse,pollinations/flux|qu|MULTI|nurse,pollinations_flux__nurse__202625140300008,202625140300008,"hampiq mama, hampiq tayta",ok,10,0,10,robustness|pollinations/flux|qu,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,nurse,pollinations/flux|qu|MULTI|nurse,pollinations/flux|qu|MULTI|nurse,pollinations_flux__nurse__202625140300009,202625140300009,"hampiq mama, hampiq tayta",ok,10,0,10,robustness|pollinations/flux|qu,0,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,runwayml/stable-diffusion-v1-5,local_diffusers,qu,MULTI,nurse,runwayml/stable-diffusion-v1-5|qu|MULTI|nurse,runwayml/stable-diffusion-v1-5|qu|MULTI|nurse,runwayml_stable-diffusion-v1-5__nurse__202625140301000,202625140301000,"hampiq mama, hampiq tayta",ok,10,0,10,robustness|runwayml/stable-diffusion-v1-5|qu,1,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
robustness,runwayml/stable-diffusion-v1-5,local_diffusers,qu,MULTI,nurse,runwayml/stable-diffusion-v1-5|qu|MULTI|nurse,runwayml/stable-diffusion-v1-5|qu|MULTI|nurse,runwayml_stable-diffusion-v1-5__nurse__202625140301001,202625140301001,"hampiq mama, hampiq tayta",ok,10,0,10,robustness|runwayml/stable-diffusion-v1-5|qu,0,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
robustness,runwayml/stable-diffusion-v1-5,local_diffusers,qu,MULTI,nurse,runwayml/stable-diffusion-v1-5|qu|MULTI|nurse,runwayml/stable-diffusion-v1-5|qu|MULTI|nurse,runwayml_stable-diffusion-v1-5__nurse__202625140301002,202625140301002,"hampiq mama, hampiq tayta",ok,10,0,10,robustness|runwayml/stable-diffusion-v1-5|qu,1,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
robustness,runwayml/stable-diffusion-v1-5,local_diffusers,qu,MULTI,nurse,runwayml/stable-diffusion-v1-5|qu|MULTI|nurse,runwayml/stable-diffusion-v1-5|qu|MULTI|nurse,runwayml_stable-diffusion-v1-5__nurse__202625140301003,202625140301003,"hampiq mama, hampiq tayta",ok,10,0,10,robustness|runwayml/stable-diffusion-v1-5|qu,2,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
robustness,runwayml/stable-diffusion-v1-5,local_diffusers,qu,MULTI,nurse,runwayml/stable-diffusion-v1-5|qu|MULTI|nurse,runwayml/stable-diffusion-v1-5|qu|MULTI|nurse,runwayml_stable-diffusion-v1-5__nurse__202625140301004,202625140301004,"hampiq mama, hampiq tayta",ok,10,0,10,robustness|runwayml/stable-diffusion-v1-5|qu,2,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
robustness,runwayml/stable-diffusion-v1-5,local_diffusers,qu,MULTI,nurse,runwayml/stable-diffusion-v1-5|qu|MULTI|nurse,runwayml/stable-diffusion-v1-5|qu|MULTI|nurse,runwayml_stable-diffusion-v1-5__nurse__202625140301005,202625140301005,"hampiq mama, hampiq tayta",ok,10,0,10,robustness|runwayml/stable-diffusion-v1-5|qu,2,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
robustness,runwayml/stable-diffusion-v1-5,local_diffusers,qu,MULTI,nurse,runwayml/stable-diffusion-v1-5|qu|MULTI|nurse,runwayml/stable-diffusion-v1-5|qu|MULTI|nurse,runwayml_stable-diffusion-v1-5__nurse__202625140301006,202625140301006,"hampiq mama, hampiq tayta",ok,10,0,10,robustness|runwayml/stable-diffusion-v1-5|qu,2,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
