grid,model,backend,language,country,occupation,prompt_id,cell_id,image_id,seed,prompt,prompt_status,target_n,current_n,missing_n,shard_group,shard_id,n_shards,recommended_runner,output_metadata_path,output_image_dir
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800000,202625140800000,Wasimanta llank’aq chayri wasi ruwanata ruwaq,ok,10,0,10,robustness|pollinations/flux|qu,0,1,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800001,202625140800001,Wasimanta llank’aq chayri wasi ruwanata ruwaq,ok,10,0,10,robustness|pollinations/flux|qu,0,1,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800002,202625140800002,Wasimanta llank’aq chayri wasi ruwanata ruwaq,ok,10,0,10,robustness|pollinations/flux|qu,0,1,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800003,202625140800003,Wasimanta llank’aq chayri wasi ruwanata ruwaq,ok,10,0,10,robustness|pollinations/flux|qu,0,1,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800004,202625140800004,Wasimanta llank’aq chayri wasi ruwanata ruwaq,ok,10,0,10,robustness|pollinations/flux|qu,0,1,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800005,202625140800005,Wasimanta llank’aq chayri wasi ruwanata ruwaq,ok,10,0,10,robustness|pollinations/flux|qu,0,1,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800006,202625140800006,Wasimanta llank’aq chayri wasi ruwanata ruwaq,ok,10,0,10,robustness|pollinations/flux|qu,0,1,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800007,202625140800007,Wasimanta llank’aq chayri wasi ruwanata ruwaq,ok,10,0,10,robustness|pollinations/flux|qu,0,1,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800008,202625140800008,Wasimanta llank’aq chayri wasi ruwanata ruwaq,ok,10,0,10,robustness|pollinations/flux|qu,0,1,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800009,202625140800009,Wasimanta llank’aq chayri wasi ruwanata ruwaq,ok,10,0,10,robustness|pollinations/flux|qu,0,1,local,images/main/metadata_local_<run_id>.parquet,images/main
