grid,model,backend,language,country,occupation,prompt_id,cell_id,image_id,seed,prompt,prompt_status,target_n,current_n,missing_n,shard_group,shard_id,n_shards,recommended_runner,output_metadata_path,output_image_dir
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800000,202625140800000,,unavailable:ValueError:no documented qu translation for occupation 'domestic worker',10,0,10,robustness|pollinations/flux|qu,3,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800001,202625140800001,,unavailable:ValueError:no documented qu translation for occupation 'domestic worker',10,0,10,robustness|pollinations/flux|qu,0,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800002,202625140800002,,unavailable:ValueError:no documented qu translation for occupation 'domestic worker',10,0,10,robustness|pollinations/flux|qu,0,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800003,202625140800003,,unavailable:ValueError:no documented qu translation for occupation 'domestic worker',10,0,10,robustness|pollinations/flux|qu,1,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800004,202625140800004,,unavailable:ValueError:no documented qu translation for occupation 'domestic worker',10,0,10,robustness|pollinations/flux|qu,3,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800005,202625140800005,,unavailable:ValueError:no documented qu translation for occupation 'domestic worker',10,0,10,robustness|pollinations/flux|qu,3,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800006,202625140800006,,unavailable:ValueError:no documented qu translation for occupation 'domestic worker',10,0,10,robustness|pollinations/flux|qu,1,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800007,202625140800007,,unavailable:ValueError:no documented qu translation for occupation 'domestic worker',10,0,10,robustness|pollinations/flux|qu,3,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800008,202625140800008,,unavailable:ValueError:no documented qu translation for occupation 'domestic worker',10,0,10,robustness|pollinations/flux|qu,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations/flux|qu|MULTI|domestic worker,pollinations_flux__domestic_worker__202625140800009,202625140800009,,unavailable:ValueError:no documented qu translation for occupation 'domestic worker',10,0,10,robustness|pollinations/flux|qu,1,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,runwayml/stable-diffusion-v1-5,local_diffusers,qu,MULTI,domestic worker,runwayml/stable-diffusion-v1-5|qu|MULTI|domestic worker,runwayml/stable-diffusion-v1-5|qu|MULTI|domestic worker,runwayml_stable-diffusion-v1-5__domestic_worker__202625140801000,202625140801000,,unavailable:ValueError:no documented qu translation for occupation 'domestic worker',10,0,10,robustness|runwayml/stable-diffusion-v1-5|qu,2,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
robustness,runwayml/stable-diffusion-v1-5,local_diffusers,qu,MULTI,domestic worker,runwayml/stable-diffusion-v1-5|qu|MULTI|domestic worker,runwayml/stable-diffusion-v1-5|qu|MULTI|domestic worker,runwayml_stable-diffusion-v1-5__domestic_worker__202625140801001,202625140801001,,unavailable:ValueError:no documented qu translation for occupation 'domestic worker',10,0,10,robustness|runwayml/stable-diffusion-v1-5|qu,1,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
robustness,runwayml/stable-diffusion-v1-5,local_diffusers,qu,MULTI,domestic worker,runwayml/stable-diffusion-v1-5|qu|MULTI|domestic worker,runwayml/stable-diffusion-v1-5|qu|MULTI|domestic worker,runwayml_stable-diffusion-v1-5__domestic_worker__202625140801002,202625140801002,,unavailable:ValueError:no documented qu translation for occupation 'domestic worker',10,0,10,robustness|runwayml/stable-diffusion-v1-5|qu,1,4,kaggle,images/main/metadata_kaggle_<run_id>.parquet,images/main
